model,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml,medium.yaml
max_lags,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
n_vars,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
data.ds_name,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint
Val_Auroc,0.8697457,0.8614353,0.869412,0.8686153,0.86643,0.861619,0.86686367,0.86838406,0.86715555,0.8660535,0.89086115,0.9069184,0.94913626,0.91559833,0.8883438,0.9370737,0.90168774,0.9286056,0.92899966,0.88079417,0.9310347,0.91849506,0.94791764,0.9472265,0.9416987,0.9534917,0.93991125,0.9043736,0.9399954,0.93695974,0.87079966,0.91445655,0.8921895,0.9181413,0.85524315,0.86994255,0.8982998,0.915962,0.888376,0.9009547,0.91075665,0.92810273,0.9022002,0.9052204,0.89775425,0.8882854,0.8962766,0.89625925,0.8997536
Val_MSE,0.03673659,0.037734367,0.036711503,0.03676204,0.037069123,0.038008783,0.037063323,0.036905035,0.037013516,0.036967248,0.034368727,0.03166,0.022156632,0.030333698,0.03432164,0.025808271,0.033238295,0.027756272,0.027707854,0.0360166,0.027197197,0.029397627,0.023221083,0.02334649,0.024536517,0.021123,0.024785599,0.031734448,0.025706224,0.02547213,0.03740195,0.031960893,0.035261273,0.031186493,0.039712902,0.037890706,0.033790976,0.030924032,0.03564737,0.03363028,0.032489263,0.029229904,0.033725522,0.033913106,0.03464003,0.035626512,0.0340334,0.033875942,0.03330783
Train_Auroc,0.9128959,0.9028022,0.9144863,0.90612113,0.9124024,0.91335547,0.8987757,0.9104228,0.90346897,0.91206956,0.9140638,0.9293052,0.98408276,0.9397073,0.9111996,0.9621409,0.93208605,0.9522938,0.95257205,0.9041139,0.95061064,0.93894124,0.96752715,0.96617657,0.9622417,0.97308356,0.9598607,0.9258598,0.96006155,0.95653665,0.89129853,0.9370722,0.9137124,0.93971,0.87781084,0.89071375,0.9197465,0.93826026,0.90801513,0.9225903,0.9333066,0.9514689,0.9266156,0.9280996,0.9198711,0.91354144,0.92001736,0.9209666,0.92302936
Train_MSE,0.03060332,0.032090243,0.030523168,0.031467546,0.030730318,0.030884437,0.03182327,0.031076904,0.03145047,0.03069873,0.030527705,0.027637878,0.013092708,0.025890717,0.03084447,0.02011737,0.028178202,0.022561058,0.022799663,0.032420795,0.022763433,0.025211286,0.018196935,0.01835557,0.019654829,0.0159251,0.020252535,0.0278699,0.02066739,0.021147441,0.033911675,0.02685373,0.031150483,0.026831875,0.036524016,0.034306195,0.029724505,0.026052162,0.032016378,0.029514855,0.027417447,0.02311568,0.028125437,0.028758304,0.03004577,0.030609196,0.028931772,0.02892848,0.028206348
Test1_Auroc,0.8731209,0.8644218,0.8710474,0.8717887,0.87035245,0.8652899,0.8687513,0.8722373,0.8691009,0.8688204,0.89359486,0.9099721,0.9517034,0.91950357,0.89213437,0.9391335,0.9024129,0.93163383,0.9319534,0.88397384,0.9337262,0.9219191,0.9510502,0.9493143,0.94466925,0.9559337,0.94295704,0.9073572,0.94208276,0.93982464,0.87247825,0.9159724,0.8954196,0.91934484,0.8565688,0.87267953,0.90164423,0.91955435,0.89035827,0.9036794,0.9142515,0.93192685,0.90476274,0.90754044,0.9005478,0.89181083,0.90016747,0.9022088,0.90478945
Test1_MSE,0.036249265,0.03729838,0.036466267,0.036213588,0.03660703,0.0374803,0.03662136,0.03641763,0.036481295,0.03654988,0.033880264,0.031050734,0.0213498,0.02959635,0.033823535,0.025286667,0.032775823,0.027123181,0.027020028,0.035378635,0.026624747,0.028907657,0.022620678,0.022724722,0.023863655,0.020490553,0.02418428,0.031439282,0.025148034,0.025024561,0.03676305,0.03142943,0.034550063,0.030871762,0.03910857,0.03714669,0.033144843,0.030248608,0.03503539,0.033168934,0.031947758,0.028619664,0.033121325,0.03339831,0.034131978,0.034974165,0.033487517,0.03312524,0.032496054
Test2_AUROC,0.89135146,0.88256806,0.89083356,0.8873408,0.8881825,0.88403165,0.88458717,0.88903815,0.88760626,0.8875289,0.90517664,0.92113215,0.96607345,0.93220556,0.9031174,0.9517374,0.91803974,0.9438404,0.94347477,0.8957597,0.943002,0.93142253,0.96087945,0.95994985,0.9561449,0.96806055,0.9541566,0.91759664,0.95405006,0.9503732,0.8840844,0.9307189,0.907017,0.9332727,0.86896706,0.88282657,0.9125814,0.93203056,0.90083677,0.91613936,0.92560565,0.9480103,0.9204886,0.92253065,0.9148114,0.90830284,0.9124616,0.9139675,0.9175161
Test2_MSE,0.032206867,0.03332802,0.032362137,0.032622173,0.032461714,0.03300063,0.03270514,0.032558117,0.032621793,0.03234514,0.030995868,0.028293302,0.01591449,0.026531694,0.031320468,0.021409705,0.02939418,0.023294536,0.023690209,0.032755837,0.02352823,0.025813958,0.019242613,0.019243702,0.020393481,0.016593572,0.020808239,0.028373985,0.021509856,0.021822283,0.033998415,0.02709216,0.031268403,0.027303502,0.03674378,0.034412358,0.029919203,0.026367644,0.032034796,0.029564137,0.028150441,0.023438515,0.02859046,0.029220825,0.03029833,0.030877028,0.029177446,0.029332817,0.02821813
